,created_at,favorite_count,full_text,location,quote_count,reply_count,retweet_count,username,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,polarity_score,polarity
0,2025-02-26 23:57:47+00:00,2,@ramaArsy1 Negara di rugikan 193 T coba berapa T rakyat di rugikan ? Ada yg memikirkan nasib rakyat ? Wakil rakyat mana suaramu yg garang saat mau mencalonkan diri jadi wakil rakyat? Rakyatmu menjerit eeh enak2 ngibrit #KaburAjaDulu asuuudahlah,"Tangerang, Indonesia",0,1,0,babyto332,Negara di rugikan  T coba berapa T rakyat di rugikan  Ada yg memikirkan nasib rakyat  Wakil rakyat mana suaramu yg garang saat mau mencalonkan diri jadi wakil rakyat Rakyatmu menjerit eeh enak ngibrit  asuuudahlah,negara di rugikan  t coba berapa t rakyat di rugikan  ada yg memikirkan nasib rakyat  wakil rakyat mana suaramu yg garang saat mau mencalonkan diri jadi wakil rakyat rakyatmu menjerit eeh enak ngibrit  asuuudahlah,negara di rugikan t coba berapa t rakyat di rugikan ada yang memikirkan nasib rakyat wakil rakyat mana suaramu yang garang saat mau mencalonkan diri jadi wakil rakyat rakyatmu menjerit eeh enak ngibrit asuuudahlah,"['negara', 'di', 'rugikan', 't', 'coba', 'berapa', 't', 'rakyat', 'di', 'rugikan', 'ada', 'yang', 'memikirkan', 'nasib', 'rakyat', 'wakil', 'rakyat', 'mana', 'suaramu', 'yang', 'garang', 'saat', 'mau', 'mencalonkan', 'diri', 'jadi', 'wakil', 'rakyat', 'rakyatmu', 'menjerit', 'eeh', 'enak', 'ngibrit', 'asuuudahlah']","['negara', 'rugikan', 'coba', 'rakyat', 'rugikan', 'memikirkan', 'nasib', 'rakyat', 'wakil', 'rakyat', 'suaramu', 'garang', 'mencalonkan', 'wakil', 'rakyat', 'rakyatmu', 'menjerit', 'eeh', 'enak', 'ngibrit', 'asuuudahlah']",negara rugikan coba rakyat rugikan memikirkan nasib rakyat wakil rakyat suaramu garang mencalonkan wakil rakyat rakyatmu menjerit eeh enak ngibrit asuuudahlah,-9,negative
1,2025-02-26 23:48:37+00:00,0,Pagi2 buka fb. Nemu ini hahahah 10 tahun lalu udah selalu mikir untuk #KaburAjaDulu @andori https://t.co/addXApaWvr,Hogwarts - INDONESIA,0,0,0,mynameistamaraa,Pagi buka fb Nemu ini hahahah  tahun lalu udah selalu mikir untuk,pagi buka fb nemu ini hahahah  tahun lalu udah selalu mikir untuk,pagi buka fb nemu ini hahahah tahun lalu sudah selalu mikir untuk,"['pagi', 'buka', 'fb', 'nemu', 'ini', 'hahahah', 'tahun', 'lalu', 'sudah', 'selalu', 'mikir', 'untuk']","['pagi', 'buka', 'fb', 'nemu', 'hahahah', 'mikir']",pagi buka fb nemu hahahah mikir,-5,negative
2,2025-02-26 23:48:04+00:00,1,wanjay apa gue ngikutin carmen juga ya biar bisa #KaburAjaDulu kek mentari-nim sama carmennya sendiri,젱양 | 닠선 | 훈승 | HOMOPHOBIC DNI,0,0,0,shjayine,wanjay apa gue ngikutin carmen juga ya biar bisa  kek mentarinim sama carmennya sendiri,wanjay apa gue ngikutin carmen juga ya biar bisa  kek mentarinim sama carmennya sendiri,wanjay apa saya ngikutin carmen juga iya biar bisa seperti mentarinim sama carmennya sendiri,"['wanjay', 'apa', 'saya', 'ngikutin', 'carmen', 'juga', 'iya', 'biar', 'bisa', 'seperti', 'mentarinim', 'sama', 'carmennya', 'sendiri']","['wanjay', 'ngikutin', 'carmen', 'biar', 'mentarinim', 'carmennya']",wanjay ngikutin carmen biar mentarinim carmennya,-4,negative
3,2025-02-26 23:47:12+00:00,1,@afrkml Mereka udah terbelenggu sekiranya kita sebagai rakyat dan sesama manusia sudah mengingatkan. Kalo bebal yasudah memang pilihannya masuk neraka jalur korupsi #KaburAjaDulu,spaceship ,0,0,0,maunaikpangkat,Mereka udah terbelenggu sekiranya kita sebagai rakyat dan sesama manusia sudah mengingatkan Kalo bebal yasudah memang pilihannya masuk neraka jalur korupsi,mereka udah terbelenggu sekiranya kita sebagai rakyat dan sesama manusia sudah mengingatkan kalo bebal yasudah memang pilihannya masuk neraka jalur korupsi,mereka sudah terbelenggu sekiranya kita sebagai rakyat dan sesama manusia sudah mengingatkan kalau bebal yasudah memang pilihannya masuk neraka jalur korupsi,"['mereka', 'sudah', 'terbelenggu', 'sekiranya', 'kita', 'sebagai', 'rakyat', 'dan', 'sesama', 'manusia', 'sudah', 'mengingatkan', 'kalau', 'bebal', 'yasudah', 'memang', 'pilihannya', 'masuk', 'neraka', 'jalur', 'korupsi']","['terbelenggu', 'rakyat', 'manusia', 'bebal', 'yasudah', 'pilihannya', 'masuk', 'neraka', 'jalur', 'korupsi']",terbelenggu rakyat manusia bebal yasudah pilihannya masuk neraka jalur korupsi,-13,negative
4,2025-02-26 23:41:36+00:00,0,Gerakan #KaburAjaDulu bisa bikint talent pool berkurang kualitasnya intervensi halus dari media untuk menginfokan tinggal di LN juga tidak mudah merupakan upaya menjaga kualitas talent pool. ,Jakarta,0,0,0,_gil4ngputr4_,Gerakan  bisa bikint talent pool berkurang kualitasnya intervensi halus dari media untuk menginfokan tinggal di LN juga tidak mudah merupakan upaya menjaga kualitas talent pool,gerakan  bisa bikint talent pool berkurang kualitasnya intervensi halus dari media untuk menginfokan tinggal di ln juga tidak mudah merupakan upaya menjaga kualitas talent pool,gerakan bisa bikint talent pool berkurang kualitasnya intervensi halus dari media untuk menginfokan tinggal di ln juga tidak mudah merupakan upaya menjaga kualitas talent pool,"['gerakan', 'bisa', 'bikint', 'talent', 'pool', 'berkurang', 'kualitasnya', 'intervensi', 'halus', 'dari', 'media', 'untuk', 'menginfokan', 'tinggal', 'di', 'ln', 'juga', 'tidak', 'mudah', 'merupakan', 'upaya', 'menjaga', 'kualitas', 'talent', 'pool']","['gerakan', 'bikint', 'talent', 'pool', 'berkurang', 'kualitasnya', 'intervensi', 'halus', 'media', 'menginfokan', 'tinggal', 'ln', 'mudah', 'upaya', 'menjaga', 'kualitas', 'talent', 'pool']",gerakan bikint talent pool berkurang kualitasnya intervensi halus media menginfokan tinggal ln mudah upaya menjaga kualitas talent pool,0,positive
5,2025-02-26 23:38:18+00:00,0,Melihat apa yang terjadi sekarang ini di indonesia pada pemeritahannya cuma bisa bilang La haula wala quwwata illa billah Ya Allah tolong selamatkan keluargaku bisa jadi warga negara saudi atau minimal warga negara jepang deh #KaburAjaDulu,Jakarta selatan,0,0,0,Savianisaa,Melihat apa yang terjadi sekarang ini di indonesia pada pemeritahannya cuma bisa bilang La haula wala quwwata illa billah Ya Allah tolong selamatkan keluargaku bisa jadi warga negara saudi atau minimal warga negara jepang deh,melihat apa yang terjadi sekarang ini di indonesia pada pemeritahannya cuma bisa bilang la haula wala quwwata illa billah ya allah tolong selamatkan keluargaku bisa jadi warga negara saudi atau minimal warga negara jepang deh,melihat apa yang terjadi sekarang ini di indonesia pada pemeritahannya cuma bisa bilang lah haula wala quwwata illa billah iya allah tolong selamatkan keluargaku bisa jadi warga negara saudi atau minimal warga negara jepang deh,"['melihat', 'apa', 'yang', 'terjadi', 'sekarang', 'ini', 'di', 'indonesia', 'pada', 'pemeritahannya', 'cuma', 'bisa', 'bilang', 'lah', 'haula', 'wala', 'quwwata', 'illa', 'billah', 'iya', 'allah', 'tolong', 'selamatkan', 'keluargaku', 'bisa', 'jadi', 'warga', 'negara', 'saudi', 'atau', 'minimal', 'warga', 'negara', 'jepang', 'deh']","['indonesia', 'pemeritahannya', 'bilang', 'haula', 'wala', 'quwwata', 'illa', 'billah', 'allah', 'tolong', 'selamatkan', 'keluargaku', 'warga', 'negara', 'saudi', 'minimal', 'warga', 'negara', 'jepang', 'deh']",indonesia pemeritahannya bilang haula wala quwwata illa billah allah tolong selamatkan keluargaku warga negara saudi minimal warga negara jepang deh,3,positive
6,2025-02-26 23:33:07+00:00,0,Untuk yang mau #KaburAjaDulu https://t.co/6mVIpZqYEY,Jakarta,0,0,0,kura2giok,Untuk yang mau,untuk yang mau,untuk yang mau,"['untuk', 'yang', 'mau']",[],,0,positive
7,2025-02-26 23:25:45+00:00,0,@doianmakanpedes Di indo udah ga ada yang ada di jepang yuuu #KaburAjaDulu,"Malang, Jawa Timur",0,1,0,ramarachm,Di indo udah ga ada yang ada di jepang yuuu,di indo udah ga ada yang ada di jepang yuuu,di indonesia sudah ga ada yang ada di jepang yuuu,"['di', 'indonesia', 'sudah', 'ga', 'ada', 'yang', 'ada', 'di', 'jepang', 'yuuu']","['indonesia', 'jepang', 'yuuu']",indonesia jepang yuuu,0,positive
8,2025-02-26 23:21:45+00:00,0,Sudah 7 tahun tinggal di Korea baru akhiran ini berasa ga sia2 gw ambil keputusan pindah ya saat itu . #KaburAjaDulu,Indonesia,0,0,0,DwiAstini,Sudah  tahun tinggal di Korea baru akhiran ini berasa ga sia gw ambil keputusan pindah ya saat itu,sudah  tahun tinggal di korea baru akhiran ini berasa ga sia gw ambil keputusan pindah ya saat itu,sudah tahun tinggal di korea baru akhiran ini berasa ga sia saya ambil keputusan pindah iya saat itu,"['sudah', 'tahun', 'tinggal', 'di', 'korea', 'baru', 'akhiran', 'ini', 'berasa', 'ga', 'sia', 'saya', 'ambil', 'keputusan', 'pindah', 'iya', 'saat', 'itu']","['tinggal', 'korea', 'akhiran', 'berasa', 'sia', 'ambil', 'keputusan', 'pindah']",tinggal korea akhiran berasa sia ambil keputusan pindah,-12,negative
9,2025-02-26 23:20:27+00:00,0,Sekarang logikanya gini. Pemerintah saja lebih pilih bekerjasama dengan negara asing lebih pilih pekerja asing. Lalu kenapa kita bekerja di negara asing dibilang tidak berjiwa nasionalisme? #KaburAjaDulu,Merauke,0,0,0,rafinurhayadi,Sekarang logikanya gini Pemerintah saja lebih pilih bekerjasama dengan negara asing lebih pilih pekerja asing Lalu kenapa kita bekerja di negara asing dibilang tidak berjiwa nasionalisme,sekarang logikanya gini pemerintah saja lebih pilih bekerjasama dengan negara asing lebih pilih pekerja asing lalu kenapa kita bekerja di negara asing dibilang tidak berjiwa nasionalisme,sekarang logikanya gini pemerintah saja lebih pilih bekerjasama dengan negara asing lebih pilih pekerja asing lalu kenapa kita bekerja di negara asing dibilang tidak berjiwa nasionalisme,"['sekarang', 'logikanya', 'gini', 'pemerintah', 'saja', 'lebih', 'pilih', 'bekerjasama', 'dengan', 'negara', 'asing', 'lebih', 'pilih', 'pekerja', 'asing', 'lalu', 'kenapa', 'kita', 'bekerja', 'di', 'negara', 'asing', 'dibilang', 'tidak', 'berjiwa', 'nasionalisme']","['logikanya', 'gini', 'pemerintah', 'pilih', 'bekerjasama', 'negara', 'asing', 'pilih', 'pekerja', 'asing', 'negara', 'asing', 'dibilang', 'berjiwa', 'nasionalisme']",logikanya gini pemerintah pilih bekerjasama negara asing pilih pekerja asing negara asing dibilang berjiwa nasionalisme,2,positive
